sleeper_id,player_id,player_name,team,position,depth_chart_order,depth_chart_position,injury_status,injury_body_part,status,years_exp
6462, 00-0035057,Ellis Richardson,,TE,,,,,Active,3.0
1875,00-0031296,C.J. Mosley,,LB,,,,,Active,11.0
995,00-0028445,Ron Parker,,FS,,,,,Injured Reserve,11.0
1408,00-0030496,Le'Veon Bell,,RB,,,,,Active,9.0
156,00-0025557,William Gay,,CB,,,,,Inactive,13.0
2091, 00-0031052,Bashaud Breeland,ARI,CB,,,,,Active,8.0
2199,00-0031255,Kasim Edebali,,DE,,,,,Inactive,8.0
2064,00-0031411,DeMarcus Lawrence,SEA,DE,1.0,LOLB,,,Active,12.0
2801,00-0031511,DeAndrew White,,WR,,,,,Inactive,7.0
4501,00-0033501,Devaroe Lawrence,,DT,,,,,Active,5.0
5852, 00-0035684,DeAndre Baker,,CB,,,,,Active,3.0
3374,00-0032942,Kevon Seymour,,CB,,,,,Active,10.0
1982,00-0031259,Aaron Colvin,,CB,,,,,Active,8.0
2474,00-0031598,Nick Boyle,,TE,,,,,Active,8.0
6648, 00-0035477,Brock Ruble,,OT,,,,,Active,3.0
3342,00-0032791,Jakeem Grant,,WR,,,,,Active,8.0
1684,00-0030300,Jaron Brown,,WR,,,,,Active,9.0
3268,00-0033038,Eric Murray,JAX,DB,1.0,FS,,,Active,10.0
4449,00-0033445,Nicholas Morrow,,LB,,,,,Active,8.0
6137, 00-0035308,Tommy Sweeney,,TE,,,,,Active,6.0
5668,00-0034668,Aaron Stinnie,NYG,G,,OL,,,Active,8.0
3561,00-0032583,Bryce Williams,,TE,,,,,Active,6.0
3356,00-0032433,Kyle Murphy,NO,OT,,,,,Active,6.0
5038,00-0034764,Michael Gallup,,WR,,,,,Active,7.0
4433,00-0033453,Xavier Coleman,,CB,,,,,Inactive,5.0
1195,00-0029613,Doug Martin,,RB,,,,,Inactive,10.0
2023,00-0031060,De'Anthony Thomas,,WR,,,,,Inactive,8.0
5592,00-0034328,Tejan Koroma,,C,,,,,Active,4.0
221,00-0025549,Brent Celek,,TE,,,,,Inactive,13.0
5965, 00-0035703,Miles Boykin,,WR,,,,,Active,6.0
