team,player,pos,rank,tgt,cmp_percent,yds_tgt,rat,dadot
2TM,Tyson Campbell,CB,1,92.0,0.5329999999999999,7.2,93.5,12.7
2TM,Greg Newsome,CB,2,89.0,0.629,7.7,100.7,12.1
2TM,Kaiir Elam,CB,3,52.0,0.519,7.7,96.8,14.1
ARI,Will Johnson,CB,1,62.0,0.6609999999999999,7.4,109.6,9.3
ARI,Denzel Burke,CB,2,54.0,0.611,6.9,70.8,10.0
ARI,Max Melton,CB,3,45.0,0.622,7.9,94.1,12.6
ATL,DeAundre Alford,CB,1,79.0,0.6709999999999999,7.2,89.2,9.1
ATL,Mike Hughes,CB,2,72.0,0.569,7.4,97.6,13.6
ATL,AJ Terrell,CB,3,64.0,0.531,6.2,87.8,10.6
BAL,Nate Wiggins,CB,1,112.0,0.607,7.0,76.6,10.6
BAL,Marlon Humphrey,CB,2,99.0,0.6459999999999999,9.3,84.6,10.2
BAL,Chidobe Awuzie,CB,3,63.0,0.556,6.3,90.7,11.8
BUF,Christian Benford,CB,1,57.0,0.544,6.4,82.6,13.1
BUF,Taron Johnson,CB,2,55.0,0.636,6.6,94.7,6.7
BUF,TreDavious White,CB,3,47.0,0.511,5.3,71.9,10.7
CAR,Michael Jackson,CB,1,100.0,0.56,7.1,75.0,11.1
CAR,Jaycee Horn,CB,2,64.0,0.484,7.5,72.3,11.0
CAR,Chau Smith-Wade,CB,3,47.0,0.83,8.1,105.8,6.8
CHI,Nahshon Wright,CB,1,98.0,0.612,8.3,86.8,11.6
CHI,Tyrique Stevenson,DB,2,57.0,0.579,9.0,86.3,10.7
CHI,Kevin Byard,DB,3,52.0,0.635,10.5,98.6,12.4
CIN,Daxton Hill,CB,1,88.0,0.636,6.0,86.9,7.2
CIN,DJ Turner,CB,2,73.0,0.479,6.4,75.6,11.9
CIN,Cam Taylor-Britt,CB,3,28.0,0.679,8.6,134.1,8.5
CLE,Denzel Ward,CB,1,62.0,0.613,6.1,88.1,10.3
CLE,Myles Harden,CB,2,56.0,0.732,6.5,120.0,6.2
CLE,Tyson Campbell,CB,3,55.0,0.545,6.4,84.8,13.0
DAL,DaRon Bland,CB,1,77.0,0.623,7.9,103.3,9.5
DAL,Reddy Steward,CB,2,45.0,0.8,7.8,99.3,5.9
DAL,Kaiir Elam,CB,3,45.0,0.556,8.3,105.0,13.3
DEN,Riley Moss,CB,1,118.0,0.5760000000000001,7.3,88.2,11.9
DEN,JaQuan McMillian,CB,2,79.0,0.595,5.9,74.2,8.1
DEN,Patrick Surtain,CB,3,61.0,0.541,5.0,66.6,11.5
DET,Amik Robertson,CB,1,104.0,0.6729999999999999,9.1,117.7,11.9
DET,DJ Reed,CB,2,56.0,0.5710000000000001,7.7,72.8,12.7
DET,Rock Ya-Sin,CB,3,54.0,0.519,5.6,74.7,14.1
GB,Keisean Nixon,CB,1,87.0,0.644,7.5,105.1,10.8
GB,Carrington Valentine,CB,2,62.0,0.597,7.6,121.2,9.8
GB,Nate Hobbs,CB,3,29.0,0.655,7.6,111.1,12.3
HOU,Kamari Lassiter,CB,1,97.0,0.5770000000000001,7.1,79.8,11.7
HOU,Derek Stingley,CB,2,67.0,0.433,6.2,54.0,12.1
HOU,Myles Bryant,CB,3,23.0,0.652,7.2,101.0,6.0
IND,Mekhi Blackmon,CB,1,75.0,0.64,7.0,86.9,8.8
IND,Kenny Moore,CB,2,71.0,0.62,7.3,87.8,7.1
IND,Charvarius Ward,CB,3,48.0,0.563,7.6,87.6,11.5
JAX,Montaric Brown,CB,1,68.0,0.5589999999999999,5.6,74.3,11.7
JAX,Greg Newsome,CB,2,59.0,0.627,7.7,107.5,11.4
JAX,Jourdan Lewis,CB,3,57.0,0.649,4.6,90.1,6.8
KC,Chamarri Conner,DB,1,66.0,0.7120000000000001,7.2,95.4,5.8
KC,Jaylen Watson,CB,2,64.0,0.625,7.8,79.0,10.7
KC,Trent McDuffie,CB,3,60.0,0.633,6.1,95.5,9.5
LA,Emmanuel Forbes,CB,1,76.0,0.5660000000000001,8.2,93.3,11.2
LA,Cobie Durant,CB,2,74.0,0.5539999999999999,7.1,79.2,11.4
LA,Darious Williams,CB,3,41.0,0.537,6.4,87.6,11.2
LAC,Cam Hart,CB,1,74.0,0.662,9.2,108.2,11.5
LAC,Tarheeb Still,CB,2,55.0,0.655,4.8,76.8,5.7
LAC,Donte Jackson,CB,3,49.0,0.429,6.2,56.8,11.9
LV,Eric Stokes,CB,1,60.0,0.5670000000000001,5.5,77.7,10.3
LV,Kyu Blu Kelly,CB,2,51.0,0.627,9.0,93.6,11.9
LV,Darien Porter,CB,3,35.0,0.657,8.3,100.9,12.9
MIA,Rasul Douglas,CB,1,77.0,0.545,5.6,73.0,10.4
MIA,Jack Jones,CB,2,60.0,0.6829999999999999,8.1,119.3,9.6
MIA,Jason Marshall,CB,3,25.0,0.64,9.4,104.6,14.1
MIN,Isaiah Rodgers,CB,1,85.0,0.624,7.5,88.2,8.0
MIN,Byron Murphy,CB,2,76.0,0.5920000000000001,5.9,78.2,7.3
MIN,Fabian Moreau,CB,3,20.0,0.45,3.5,54.2,6.2
NE,Christian Gonzalez,CB,1,84.0,0.536,6.0,79.9,10.9
NE,Marcus Jones,CB,2,78.0,0.679,7.1,102.2,6.7
NE,Carlton Davis,CB,3,74.0,0.581,5.3,90.7,10.4
NO,Alontae Taylor,CB,1,94.0,0.6809999999999999,6.5,98.2,6.3
NO,Kool-Aid McKinstry,CB,2,92.0,0.5870000000000001,8.2,100.5,11.1
NO,Quincy Riley,CB,3,52.0,0.596,7.9,96.0,13.6
NYG,Andru Phillips,CB,1,81.0,0.7040000000000001,7.1,92.5,6.5
NYG,Paulson Adebo,CB,2,80.0,0.6629999999999999,8.1,98.2,11.1
NYG,Cordale Flott,CB,3,67.0,0.522,6.9,73.3,13.8
NYJ,Brandon Stephens,CB,1,85.0,0.718,8.0,134.3,8.5
NYJ,Malachi Moore,DB,2,46.0,0.63,10.8,106.7,12.0
NYJ,Jarvis Brownlee,CB,3,38.0,0.711,5.4,83.7,4.4
PHI,Quinyon Mitchell,CB,1,88.0,0.44299999999999995,5.1,64.3,13.6
PHI,Cooper DeJean,DB,2,81.0,0.605,7.2,76.5,10.3
PHI,Adoree Jackson,CB,3,75.0,0.627,7.1,87.0,9.9
PIT,Jalen Ramsey,CB,1,81.0,0.7040000000000001,8.1,118.1,7.6
PIT,Brandin Echols,CB,2,70.0,0.7,6.8,86.5,6.2
PIT,Joey Porter,CB,3,66.0,0.485,5.0,57.2,8.9
SEA,Josh Jobe,CB,1,91.0,0.495,5.7,77.0,11.1
SEA,Tariq Woolen,CB,2,72.0,0.542,4.8,75.5,8.8
SEA,Devon Witherspoon,CB,3,59.0,0.695,6.4,90.7,6.4
SF,Upton Stout,CB,1,69.0,0.696,7.7,92.1,6.8
SF,Renardo Green,CB,2,69.0,0.551,6.5,80.0,13.4
SF,Deommodore Lenoir,DB,3,63.0,0.619,5.7,90.5,10.2
TB,Zyon McCollum,CB,1,82.0,0.598,7.1,100.9,11.6
TB,Jacob Parrish,CB,2,77.0,0.7140000000000001,7.3,89.9,7.0
TB,Jamel Dean,CB,3,59.0,0.49200000000000005,7.2,63.1,11.8
TEN,Darrell Baker,CB,1,63.0,0.698,10.2,124.1,12.6
TEN,Jalyn Armour-Davis,CB,2,35.0,0.7140000000000001,10.9,126.0,13.2
TEN,Marcus Harris,CB,3,31.0,0.484,7.6,74.0,9.7
WAS,Mike Sainristil,CB,1,89.0,0.685,8.2,108.5,9.1
WAS,Jonathan Jones,CB,2,43.0,0.605,8.3,87.3,12.9
WAS,Trey Amos,CB,3,38.0,0.711,8.3,104.6,9.4
