pfr_id,rush_ybc_att,rush_yac_att,rush_broken_tackles,rush_att_per_broken,pfr_rush_att,rec_ybc_per_rec,rec_yac_per_rec,pfr_adot,rec_broken_tackles,rec_drop_pct,pfr_targets,player_id
AbduAm00,2.0,2.3,1.0,14.0,14.0,-0.4,6.6,-0.2,3.0,0.0,17.0,00-0032104
AchaDe00,2.7,3.0,22.0,10.8,238.0,-1.0,8.2,0.4,9.0,0.059000000000000004,85.0,00-0039040
AdamDa01,,,,,,11.2,2.0,12.6,0.0,0.044000000000000004,114.0,00-0031381
AddiJo00,32.5,8.0,1.0,2.0,2.0,11.2,3.3,13.7,1.0,0.076,79.0,00-0038994
AdkiNa00,,,,,,3.7,4.3,3.2,0.0,0.273,11.0,00-0038783
AkerCa00,2.4,1.4,0.0,,5.0,,,-6.0,0.0,1.0,1.0,00-0036414
AlieMo00,,,,,,3.1,5.9,4.7,1.0,0.05,20.0,00-0033217
AlixRa00,2.9,0.6,0.0,,7.0,-1.7,9.2,-0.1,1.0,0.091,11.0,00-0039796
AlleBr05,2.4,1.8,0.0,,18.0,4.0,4.5,2.7,1.0,0.33299999999999996,3.0,00-0039794
AlleDa02,,,,,,3.0,5.7,3.9,2.0,0.091,33.0,00-0039074
AlleJo02,3.2,2.0,7.0,16.0,112.0,,,,,,,00-0034857
AlleKe00,,,,,,6.7,2.9,8.4,3.0,0.049,122.0,00-0030279
AlleKy00,-1.0,0.0,0.0,,3.0,,,,,,,00-0034577
AlleLe01,2.6,1.5,2.0,11.5,23.0,-0.7,6.1,-1.4,0.0,0.0,11.0,00-0040238
AllgTy00,2.0,1.6,9.0,15.9,143.0,-1.7,8.6,-1.8,1.0,0.063,16.0,00-0037263
AndeRo04,,,,,,9.6,1.0,14.6,0.0,0.0,9.0,00-0032688
AndrMa00,4.3,0.5,0.0,,10.0,6.7,2.1,7.4,1.0,0.043,70.0,00-0034753
ArroEl00,,,,,,6.7,5.2,8.5,0.0,0.038,26.0,00-0040739
