player_id,season,week,team,opponent,position,snaps,team_snaps,routes,team_dropbacks,targets,team_targets,receptions,receiving_yards,air_yards,team_air_yards,carries,team_carries,rushing_yards,pass_attempts,passing_yards,rz_targets,team_rz_targets,rz_carries,team_rz_carries,inside5_carries,team_inside5_carries,rush_td,rec_td,pass_td,anytime_td
00-0023459,2026,1,PIT,ATL,QB,67.0,67.0,,40,0,37,0,0,0,388,3,21,-3,40,221,,5.0,,1.0,,0.0,0,0,1,0
00-0026498,2026,1,LA,SF,QB,51.0,60.714285714285715,,28,0,27,0,0,0,259,2,29,-1,25,155,,2.0,1.0,7.0,1.0,3.0,0,0,0,0
00-0029604,2026,1,LV,MIA,QB,68.0,68.0,,30,0,29,0,0,0,226,5,37,-6,30,160,,8.0,0.0,4.0,0.0,0.0,0,0,3,0
00-0030279,2026,1,IND,BAL,WR,36.0,53.731343283582085,,31,6,29,6,32,22,189,0,20,0,0,0,1.0,3.0,,5.0,,3.0,0,0,0,0
00-0030506,2026,1,KC,DEN,TE,49.0,69.01408450704226,,27,5,25,3,71,29,117,0,38,0,0,0,0.0,4.0,,6.0,,1.0,0,0,0,0
00-0030565,2026,1,NYJ,TEN,QB,67.0,67.0,,24,0,23,0,0,0,156,6,39,7,24,215,,1.0,1.0,6.0,0.0,3.0,0,0,0,0
00-0031381,2026,1,LA,SF,WR,33.0,61.11111111111111,,28,6,27,3,26,73,259,0,29,0,0,0,0.0,2.0,,7.0,,3.0,0,0,0,0
00-0031408,2026,1,SF,LA,WR,49.0,65.33333333333333,,34,7,33,6,49,55,150,0,30,0,0,0,2.0,8.0,,2.0,,0.0,0,1,0,1
00-0031588,2026,1,WAS,PHI,WR,44.0,69.84126984126983,,34,9,29,4,55,83,256,0,32,0,0,0,1.0,9.0,,7.0,,2.0,0,1,0,1
00-0031610,2026,1,CAR,CHI,TE,24.0,68.57142857142857,,38,2,34,2,28,8,336,0,22,0,0,0,0.0,5.0,,5.0,,1.0,0,0,0,0
