season,week,team,plays,dropbacks,pass_attempts,carries,epa_per_play,proe,off_td,rush_td,points,pace_sec_per_play,rz_dropbacks,rz_plays
2026,1,ARI,72,39.0,39.0,33.0,0.116902865,-0.014828015,2.0,1.0,14.0,,,
2026,1,ATL,57,26.0,26.0,31.0,-0.32100573,-0.17250952,2.0,0.0,14.0,,,
2026,1,BAL,64,29.0,29.0,35.0,0.2656657,-0.06605031,5.0,4.0,35.0,,,
2026,1,BUF,53,33.0,33.0,20.0,0.22493261,0.01108353,4.0,2.0,28.0,,,
2026,1,CAR,62,43.0,43.0,19.0,0.18153584,0.020730715,5.0,2.0,35.0,,,
2026,1,CHI,70,38.0,38.0,32.0,0.40938172,-0.01468179,8.0,6.0,56.0,,,
2026,1,CIN,63,37.0,37.0,26.0,-0.052113228,0.049691416,3.0,1.0,21.0,,,
2026,1,CLE,49,30.0,30.0,19.0,-0.1842705,-0.102370605,1.0,0.0,7.0,,,
2026,1,DAL,52,36.0,36.0,16.0,0.22067006,-0.0012593886,3.0,1.0,21.0,,,
2026,1,DEN,47,33.0,33.0,14.0,-0.33653742,0.018862186,1.0,0.0,7.0,,,
2026,1,DET,73,41.0,41.0,32.0,0.00040982195,0.004566337,4.0,2.0,28.0,,,
2026,1,GB,67,46.0,46.0,21.0,-0.17482567,-0.018562898,2.0,0.0,14.0,,,
2026,1,HOU,73,42.0,42.0,31.0,0.0689077,-0.07094067,4.0,2.0,28.0,,,
2026,1,IND,53,34.0,34.0,19.0,-0.24123657,-0.045319915,3.0,2.0,21.0,,,
2026,1,JAX,56,24.0,24.0,32.0,0.32005164,-0.028115205,4.0,0.0,28.0,,,
2026,1,KC,67,33.0,33.0,34.0,0.09310019,0.0013081931,4.0,2.0,28.0,,,
2026,1,LA,57,29.0,29.0,28.0,-0.25999612,-0.17295182,1.0,1.0,7.0,,,
2026,1,LAC,51,35.0,35.0,16.0,-0.24395901,-0.02077934,2.0,1.0,14.0,,,
2026,1,LV,67,31.0,31.0,36.0,-0.06838565,-0.06419229,3.0,0.0,21.0,,,
2026,1,MIA,50,37.0,37.0,13.0,-0.2358899,-0.008513121,1.0,1.0,7.0,,,
2026,1,MIN,62,31.0,31.0,31.0,-0.018649409,-0.0857371,5.0,2.0,35.0,,,
2026,1,NE,67,42.0,42.0,25.0,-0.10962827,-0.025771981,1.0,0.0,7.0,,,
2026,1,NO,87,63.0,63.0,24.0,-0.030615604,0.03936352,4.0,1.0,28.0,,,
2026,1,NYG,68,33.0,33.0,35.0,0.3122205,-0.041171953,4.0,1.0,28.0,,,
2026,1,NYJ,63,26.0,26.0,37.0,0.119377986,-0.10159543,2.0,2.0,14.0,,,
2026,1,PHI,53,33.0,33.0,20.0,0.0683365,-0.058744162,3.0,0.0,21.0,,,
2026,1,PIT,64,43.0,43.0,21.0,-0.31107888,0.106256895,1.0,0.0,7.0,,,
