season,week,team,opponent,home,spread,total,implied_total,dome,wind_mph,precip_prob
2026,1,SEA,NE,True,-3.5,44.5,24.0,False,,
2026,1,NE,SEA,False,3.5,44.5,20.5,False,,
2026,1,LA,SF,True,-3.5,48.5,26.0,True,,
2026,1,SF,LA,False,3.5,48.5,22.5,True,,
2026,1,CAR,CHI,True,2.5,47.5,22.5,False,,
2026,1,CHI,CAR,False,-2.5,47.5,25.0,False,,
2026,1,CIN,TB,True,-3.5,50.5,27.0,False,,
2026,1,TB,CIN,False,3.5,50.5,23.5,False,,
2026,1,DET,NO,True,-7.0,49.5,28.25,True,,
2026,1,NO,DET,False,7.0,49.5,21.25,True,,
2026,1,HOU,BUF,True,1.5,44.5,21.5,False,,
2026,1,BUF,HOU,False,-1.5,44.5,23.0,False,,
2026,1,IND,BAL,True,3.5,48.5,22.5,False,,
2026,1,BAL,IND,False,-3.5,48.5,26.0,False,,
2026,1,JAX,CLE,True,-7.5,40.5,24.0,False,,
2026,1,CLE,JAX,False,7.5,40.5,16.5,False,,
2026,1,PIT,ATL,True,-3.5,42.5,23.0,False,,
2026,1,ATL,PIT,False,3.5,42.5,19.5,False,,
2026,1,TEN,NYJ,True,-1.5,38.5,20.0,False,,
2026,1,NYJ,TEN,False,1.5,38.5,18.5,False,,
2026,1,LAC,ARI,True,-10.5,46.5,28.5,True,,
2026,1,ARI,LAC,False,10.5,46.5,18.0,True,,
2026,1,LV,MIA,True,-3.5,40.5,22.0,True,,
2026,1,MIA,LV,False,3.5,40.5,18.5,True,,
2026,1,MIN,GB,True,-1.5,45.5,23.5,True,,
2026,1,GB,MIN,False,1.5,45.5,22.0,True,,
2026,1,PHI,WAS,True,-5.5,44.5,25.0,False,,
2026,1,WAS,PHI,False,5.5,44.5,19.5,False,,
2026,1,NYG,DAL,True,2.5,48.5,23.0,False,,
2026,1,DAL,NYG,False,-2.5,48.5,25.5,False,,
2026,1,KC,DEN,True,-3.0,42.5,22.75,False,,
2026,1,DEN,KC,False,3.0,42.5,19.75,False,,
