team,season,games,plays_per_game,pace_sec_per_play,pass_rate,proe,rz_pass_rate,rz_trips_per_game,inside5_plays_pg,points_per_game,off_td_per_game,rush_td_share,off_epa_per_play,team_pass_att_pg,team_rush_att_pg,team_pass_yds_pg,team_rush_yds_pg,ol_passblock_grade,ol_runblock_grade,ol_snaps_returning,wr_corps_grade,qb_grade,offensive_coordinator,head_coach,play_caller,scheme_run,scheme_pass
ARI,2025,17,63.411764705882355,,0.6938775510204082,0.037125282,0.6923076923076923,3.3137254901960786,,16.882353,2.4117646,0.2195122,-0.013576977,44.0,19.41176470588235,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
ATL,2025,17,61.88235294117647,,0.5570342205323194,-0.063253395,0.49295774647887325,2.7843137254901964,,16.058823,2.2941177,0.43589744,-0.030125782,34.470588235294116,27.41176470588235,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
BAL,2025,17,57.411764705882355,,0.5153688524590164,-0.08522163,0.4011299435028249,3.4705882352941178,,19.352942,2.764706,0.4893617,0.02763873,29.58823529411765,27.823529411764707,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
BUF,2025,17,64.17647058823529,,0.5435380384967919,-0.03102452,0.44221105527638194,3.9019607843137254,,24.705883,3.5294118,0.5,0.11731422,34.88235294117647,29.294117647058822,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
CAR,2025,17,59.76470588235294,,0.5757874015748031,-0.059058372,0.5436241610738255,2.9215686274509807,,14.411765,2.0588236,0.25714287,-0.05886887,34.411764705882355,25.352941176470587,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
CHI,2025,17,65.23529411764706,,0.5807033363390441,-0.03862381,0.45555555555555555,3.5294117647058822,,19.764706,2.8235295,0.39583334,0.070603706,37.88235294117647,27.352941176470587,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
CIN,2025,17,62.470588235294116,,0.6506591337099812,0.015866304,0.609271523178808,2.9607843137254903,,23.470589,3.3529413,0.19298245,-0.026132476,40.64705882352941,21.823529411764707,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
CLE,2025,17,60.8235294117647,,0.6199226305609284,-0.038784105,0.5271317829457365,2.5294117647058822,,11.941176,1.7058823,0.3448276,-0.19705899,37.705882352941174,23.11764705882353,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
DAL,2025,17,66.05882352941177,,0.6090828138913624,-0.009047445,0.5678391959798995,3.9019607843137254,,20.17647,2.8823528,0.36734694,0.084504284,40.23529411764706,25.823529411764707,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
DEN,2025,17,64.58823529411765,,0.6156648451730419,0.013845755,0.5647058823529412,3.3333333333333335,,17.705883,2.5294118,0.41860464,0.03389527,39.76470588235294,24.823529411764707,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
