player_id,season,player_name,position,jersey_number,prior_team,new_team,changed_team,rookie,new_oc,new_hc_offense,new_dc,scheme_change_major,new_qb,depth_chart_rank_prior,depth_chart_rank_new,depth_chart_volatility,returning_from_ir,usage_shift_tags,manual_share_override,notes
00-0023459,2026,Aaron Rodgers,QB,8.0,PIT,PIT,False,False,False,False,False,False,False,,,0.1,False,,,
00-0025565,2026,Nick Folk,K,6.0,NYJ,ATL,True,False,False,False,False,False,False,,,0.1,False,,,
00-0026027,2026,J.J. Jansen,LS,44.0,CAR,CAR,False,False,False,False,False,False,False,,,0.1,False,,,
00-0026158,2026,Joe Flacco,QB,16.0,CIN,CIN,False,False,False,False,False,False,False,,,0.1,False,,,
00-0026190,2026,Calais Campbell,DL,93.0,ARI,BAL,True,False,False,False,False,False,False,,,0.1,False,,,
00-0026300,2026,Josh Johnson,QB,11.0,WAS,CIN,True,False,False,False,False,False,False,,,0.1,False,,,
00-0026498,2026,Matthew Stafford,QB,9.0,LA,LA,False,False,False,False,False,False,False,,,0.1,False,,,
00-0027224,2026,Jon Weeks,LS,46.0,SF,SF,False,False,False,False,False,False,False,,,0.1,False,,,
00-0027557,2026,Morgan Cox,LS,46.0,TEN,TEN,False,False,False,False,False,False,False,,,0.1,False,,,
00-0027857,2026,Trent Williams,OL,71.0,SF,SF,False,False,False,False,False,False,False,,,0.1,False,,,
00-0027940,2026,Von Miller,LB,40.0,WAS,DAL,True,False,False,False,False,False,False,,,0.1,False,,,
00-0027962,2026,Cameron Jordan,LB,94.0,NO,NO,False,False,False,False,False,False,False,,,0.1,False,,,
00-0027969,2026,Cameron Heyward,DL,97.0,PIT,PIT,False,False,False,False,False,False,False,,,0.1,False,,,
00-0027973,2026,Andy Dalton,QB,14.0,CAR,PHI,True,False,False,False,False,False,False,,,0.1,False,,,
00-0028118,2026,Tyrod Taylor,QB,6.0,NYJ,GB,True,False,False,False,False,False,False,,,0.1,False,,,
00-0028292,2026,Nick Bellore,LB,57.0,WAS,WAS,False,False,False,False,False,False,False,,,0.1,False,,,
00-0028845,2026,Josh Harris,LS,47.0,LAC,LAC,False,False,False,False,False,False,False,,,0.1,False,,,
00-0028986,2026,Case Keenum,QB,11.0,CHI,CHI,False,False,False,False,False,False,False,,,0.1,False,,,
00-0029604,2026,Kirk Cousins,QB,8.0,ATL,LV,True,False,False,False,False,False,False,,,0.1,False,,,
00-0029606,2026,Harrison Smith,DB,22.0,MIN,MIN,False,False,False,False,False,False,False,,,0.1,False,,,
00-0029607,2026,Demario Davis,LB,56.0,NO,NYJ,True,False,False,False,False,False,False,,,0.1,False,,,
00-0029685,2026,Greg Van Roten,OL,70.0,NYG,NE,True,False,False,False,False,False,False,,,0.1,False,,,
00-0029692,2026,Bryan Anger,P,5.0,DAL,DAL,False,False,False,False,False,False,False,,,0.1,False,,,
00-0029714,2026,Andrew DePaola,LS,42.0,MIN,MIN,False,False,False,False,False,False,False,,,0.1,False,,,
00-0029892,2026,Kyle Juszczyk,RB,44.0,SF,SF,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030035,2026,Adam Thielen,WR,16.0,PIT,MIN,True,False,False,False,False,False,False,,,0.1,False,,,
00-0030070,2026,John Jenkins,DL,94.0,BAL,BAL,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030092,2026,Sam Martin,P,6.0,CAR,CAR,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030097,2026,David Quessenberry,OL,68.0,LA,LA,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030140,2026,Tress Way,P,10.0,WAS,WAS,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030279,2026,Keenan Allen,WR,10.0,LAC,IND,True,False,False,False,False,False,False,,,0.1,False,,,
00-0030294,2026,Tony Jefferson,DB,23.0,LAC,LAC,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030506,2026,Travis Kelce,TE,87.0,KC,KC,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030561,2026,Lane Johnson,OL,65.0,PHI,PHI,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030565,2026,Geno Smith,QB,7.0,LV,NYJ,True,False,False,False,False,False,False,,,0.1,False,,,
00-0030615,2026,James Winchester,LS,41.0,KC,KC,False,False,False,False,False,False,False,,,0.1,False,,,
00-0030957,2026,Casey Kreiter,LS,59.0,NYG,ARI,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031040,2026,Khalil Mack,LB,52.0,LAC,LAC,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031054,2026,DaQuan Jones,DL,92.0,BUF,NE,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031136,2026,Chris Boswell,K,9.0,PIT,PIT,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031156,2026,Tyler Ott,LS,69.0,WAS,WAS,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031203,2026,Cairo Santos,K,8.0,CHI,CHI,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031235,2026,Odell Beckham Jr.,WR,13.0,,NYG,False,True,False,False,False,False,False,,,0.1,False,,,
00-0031237,2026,Teddy Bridgewater,QB,5.0,TB,DET,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031270,2026,Shelby Harris,DL,93.0,CLE,NYG,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031279,2026,Jake Matthews,OL,70.0,ATL,ATL,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031330,2026,Morgan Moses,OL,76.0,NE,NE,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031360,2026,Kyle Van Noy,LB,17.0,BAL,MIN,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031364,2026,Jadeveon Clowney,DL,90.0,DAL,HOU,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031381,2026,Davante Adams,WR,17.0,LA,LA,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031388,2026,Aaron Donald,DL,99.0,,LA,False,True,False,False,False,False,False,,,0.1,False,,,
00-0031408,2026,Mike Evans,WR,5.0,TB,SF,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031411,2026,DeMarcus Lawrence,LB,0.0,SEA,SEA,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031484,2026,Chris Manhertz,TE,85.0,NYG,NYG,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031492,2026,Jason Myers,K,5.0,SEA,SEA,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031503,2026,Jameis Winston,QB,19.0,NYG,NYG,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031550,2026,Shaq Thompson,LB,54.0,BUF,BUF,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031565,2026,Danielle Hunter,DL,55.0,HOU,HOU,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031576,2026,Za'Darius Smith,LB,55.0,PHI,ATL,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031583,2026,Grady Jarrett,DL,50.0,CHI,CHI,False,False,False,False,False,False,False,,,0.1,False,,,
00-0031588,2026,Stefon Diggs,WR,3.0,NE,WAS,True,False,False,False,False,False,False,,,0.1,False,,,
00-0031595,2026,Michael Burton,RB,34.0,DEN,CLE,True,False,False,False,False,False,False,,,0.1,False,,,
